Province,Riding English,Riding French,Candidate English,Candidate French,Party,Votes,Elected
Quebec,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Marc Pettersen,Marc Pettersen,Liberal Party of Canada,6425,
Quebec,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Jean-François Veilleux,Jean-François Veilleux,Green Party of Canada,1193,
Quebec,Compton--Stanstead,Compton--Stanstead,France Bonsant,France Bonsant,Bloc Québécois,20332,
Quebec,Compton--Stanstead,Compton--Stanstead,Gary Caldwell,Gary Caldwell,Green Party of Canada,2368,
Quebec,Compton--Stanstead,Compton--Stanstead,Michel Gagné,Michel Gagné,Conservative Party of Canada,9445,
Quebec,Compton--Stanstead,Compton--Stanstead,William Hogg,William Hogg,Liberal Party of Canada,10946,
Quebec,Compton--Stanstead,Compton--Stanstead,Jean Rousseau,Jean Rousseau,New Democratic Party,5483,
Quebec,Drummond,Drummond,Annick Corriveau,Annick Corriveau,New Democratic Party,7460,
Quebec,Drummond,Drummond,Jean Courchesne,Jean Courchesne,Liberal Party of Canada,7697,
Quebec,Drummond,Drummond,Réginald Gagnon,Réginald Gagnon,Green Party of Canada,1144,
Quebec,Drummond,Drummond,André Komlosy,André Komlosy,Conservative Party of Canada,11490,
Quebec,Drummond,Drummond,Roger Pomerleau,Roger Pomerleau,Bloc Québécois,17613,
Quebec,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Raynald Blais,Raynald Blais,Bloc Québécois,14636,
Quebec,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Denis Gauvreau,Denis Gauvreau,Liberal Party of Canada,9840,
Quebec,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Darryl Gray,Darryl Gray,Conservative Party of Canada,8334,
Quebec,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Gaston Langlais,Gaston Langlais,New Democratic Party,2549,
Quebec,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Julien Leblanc,Julien Leblanc,Green Party of Canada,1136,
Quebec,Gatineau,Gatineau,Françoise Boivin,Françoise Boivin,New Democratic Party,13612,
Quebec,Gatineau,Gatineau,David Inglis,David Inglis,Green Party of Canada,1342,
Quebec,Gatineau,Gatineau,Richard Nadeau,Richard Nadeau,Bloc Québécois,15189,
Quebec,Gatineau,Gatineau,Michel Simard,Michel Simard,Liberal Party of Canada,13193,
Quebec,Gatineau,Gatineau,Denis Tassé,Denis Tassé,Conservative Party of Canada,8762,
Quebec,Hochelaga,Hochelaga,Marianne Breton Fontaine,Marianne Breton Fontaine,Communist Party of Canada,184,
Quebec,Hochelaga,Hochelaga,Christine Dandenault,Christine Dandenault,Marxist-Leninist Party of Canada,177,
Quebec,Hochelaga,Hochelaga,Diane Dicaire,Diane Dicaire,Liberal Party of Canada,9442,
Quebec,Hochelaga,Hochelaga,Luc Labbé,Luc Labbé,Conservative Party of Canada,4201,
Quebec,Hochelaga,Hochelaga,Simon Landry,Simon Landry,neorhino.ca,230,
Quebec,Hochelaga,Hochelaga,Philippe Larochelle,Philippe Larochelle,Green Party of Canada,1946,
Quebec,Hochelaga,Hochelaga,Blair T. Longley,Blair T. Longley,Marijuana Party,183,
Quebec,Hochelaga,Hochelaga,Réal Ménard,Réal Ménard,Bloc Québécois,22720,
Quebec,Hochelaga,Hochelaga,Jean-Claude Rocheleau,Jean-Claude Rocheleau,New Democratic Party,6600,
Quebec,Honoré-Mercier,Honoré-Mercier,Rodrigo Alfaro,Rodrigo Alfaro,Conservative Party of Canada,7549,
Quebec,Honoré-Mercier,Honoré-Mercier,Gaëtan Bérard,Gaëtan Bérard,Green Party of Canada,1380,
Quebec,Honoré-Mercier,Honoré-Mercier,Gérard Labelle,Gérard Labelle,Bloc Québécois,13871,
Quebec,Honoré-Mercier,Honoré-Mercier,François Pilon,François Pilon,New Democratic Party,4986,
Quebec,Honoré-Mercier,Honoré-Mercier,Pablo Rodriguez,Pablo Rodriguez,Liberal Party of Canada,21544,
Quebec,Hull--Aylmer,Hull--Aylmer,Raphaël Déry,Raphaël Déry,Bloc Québécois,11625,
Quebec,Hull--Aylmer,Hull--Aylmer,Pierre Ducasse,Pierre Ducasse,New Democratic Party,10454,
Quebec,Hull--Aylmer,Hull--Aylmer,Paul Fréchette,Paul Fréchette,Conservative Party of Canada,7996,
Quebec,Hull--Aylmer,Hull--Aylmer,Gabriel Girard-Bernier,Gabriel Girard-Bernier,Marxist-Leninist Party of Canada,121,
Quebec,Hull--Aylmer,Hull--Aylmer,Frédéric Pouyot,Frédéric Pouyot,Green Party of Canada,2784,
Quebec,Hull--Aylmer,Hull--Aylmer,Marcel Proulx,Marcel Proulx,Liberal Party of Canada,19750,
Quebec,Jeanne-Le Ber,Jeanne-Le Ber,Daniel Beaudin,Daniel Beaudin,Conservative Party of Canada,5494,
Quebec,Jeanne-Le Ber,Jeanne-Le Ber,Daniel Breton,Daniel Breton,New Democratic Party,7708,
Quebec,Jeanne-Le Ber,Jeanne-Le Ber,Christian P. Feuillette,Christian P. Feuillette,Liberal Party of Canada,15841,
Quebec,Jeanne-Le Ber,Jeanne-Le Ber,Darryl Gray,Darryl Gray,Independent,577,
Quebec,Jeanne-Le Ber,Jeanne-Le Ber,Véronik Sansoucy,Véronik Sansoucy,Green Party of Canada,2345,
Quebec,Jeanne-Le Ber,Jeanne-Le Ber,Thierry St-Cyr,Thierry St-Cyr,Bloc Québécois,17144,
Quebec,Joliette,Joliette,Annie Durette,Annie Durette,Green Party of Canada,2588,
Quebec,Joliette,Joliette,Sylvie Lavallée,Sylvie Lavallée,Conservative Party of Canada,9540,
Quebec,Joliette,Joliette,Pierre Paquette,Pierre Paquette,Bloc Québécois,28040,
Quebec,Joliette,Joliette,Francine Raynault,Francine Raynault,New Democratic Party,5579,
Quebec,Joliette,Joliette,Suzie St-Onge,Suzie St-Onge,Liberal Party of Canada,7769,
Quebec,Jonquière--Alma,Jonquière--Alma,Jean-Pierre Blackburn,Jean-Pierre Blackburn,Conservative Party of Canada,26639,
Quebec,Jonquière--Alma,Jonquière--Alma,Chantale Bouchard,Chantale Bouchard,Bloc Québécois,19035,
Quebec,Jonquière--Alma,Jonquière--Alma,Marc Dupéré,Marc Dupéré,Liberal Party of Canada,2616,
Quebec,Jonquière--Alma,Jonquière--Alma,Jean-François Paradis,Jean-François Paradis,New Democratic Party,2475,
Quebec,Lac-Saint-Louis,Lac-Saint-Louis,Maxime Clément,Maxime Clément,Bloc Québécois,2953,
Quebec,Lac-Saint-Louis,Lac-Saint-Louis,Peter Graham,Peter Graham,Green Party of Canada,4415,
Quebec,Lac-Saint-Louis,Lac-Saint-Louis,Andrea Paine,Andrea Paine,Conservative Party of Canada,12085,
Quebec,Lac-Saint-Louis,Lac-Saint-Louis,Daniel Quinn,Daniel Quinn,New Democratic Party,8105,
Quebec,Lac-Saint-Louis,Lac-Saint-Louis,Francis Scarpaleggia,Francis Scarpaleggia,Liberal Party of Canada,23842,
Quebec,La Pointe-de-l'Île,La Pointe-de-l'Île,Ben 97 Benoit,Ben 97 Benoit,neorhino.ca,261,
Quebec,La Pointe-de-l'Île,La Pointe-de-l'Île,Claude Brunelle,Claude Brunelle,Marxist-Leninist Party of Canada,177,
Quebec,La Pointe-de-l'Île,La Pointe-de-l'Île,Domita Cundari,Domita Cundari,Green Party of Canada,1340,
Quebec,La Pointe-de-l'Île,La Pointe-de-l'Île,Francine Lalonde,Francine Lalonde,Bloc Québécois,25976,
Quebec,La Pointe-de-l'Île,La Pointe-de-l'Île,Isabelle Maguire,Isabelle Maguire,New Democratic Party,5975,
Quebec,La Pointe-de-l'Île,La Pointe-de-l'Île,Hubert Pichet,Hubert Pichet,Conservative Party of Canada,5179,
Quebec,La Pointe-de-l'Île,La Pointe-de-l'Île,Oumy Sarr,Oumy Sarr,Liberal Party of Canada,7403,
Quebec,LaSalle--Émard,LaSalle--Émard,Amy Darwish,Amy Darwish,New Democratic Party,5622,
Quebec,LaSalle--Émard,LaSalle--Émard,Béatrice Guay-Pepper,Béatrice Guay-Pepper,Conservative Party of Canada,6802,
Quebec,LaSalle--Émard,LaSalle--Émard,Frédéric Isaya,Frédéric Isaya,Bloc Québécois,10384,
Quebec,LaSalle--Émard,LaSalle--Émard,Antoine Kaluzny,Antoine Kaluzny,Independent,674,
Quebec,LaSalle--Émard,LaSalle--Émard,Yves Le Seigle,Yves Le Seigle,Marxist-Leninist Party of Canada,144,
Quebec,LaSalle--Émard,LaSalle--Émard,Kristina Vitelli,Kristina Vitelli,Green Party of Canada,1579,
Quebec,LaSalle--Émard,LaSalle--Émard,Lise Zarac,Lise Zarac,Liberal Party of Canada,17226,
Quebec,Laurentides--Labelle,Laurentides--Labelle,Johanne Deschamps,Johanne Deschamps,Bloc Québécois,24956,
Quebec,Laurentides--Labelle,Laurentides--Labelle,David Dupras,David Dupras,New Democratic Party,4896,
Quebec,Laurentides--Labelle,Laurentides--Labelle,Pierre Gfeller,Pierre Gfeller,Liberal Party of Canada,14143,
Quebec,Laurentides--Labelle,Laurentides--Labelle,Guy Joncas,Guy Joncas,Conservative Party of Canada,6914,
Quebec,Laurentides--Labelle,Laurentides--Labelle,Jacques Rigal,Jacques Rigal,Green Party of Canada,2094,
Quebec,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Sébastien Caron,Sébastien Caron,Liberal Party of Canada,8798,
Quebec,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Gilles Duceppe,Gilles Duceppe,Bloc Québécois,24103,
Quebec,Laurier--Sainte-Marie,Laurier--Sainte-Marie,François Yo Gourd,François Yo Gourd,neorhino.ca,447,
Quebec,Laurier--Sainte-Marie,Laurier--Sainte-Marie,François Grégoire,François Grégoire,New Democratic Party,8209,
Quebec,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Serge Lachapelle,Serge Lachapelle,Marxist-Leninist Party of Canada,118,
Quebec,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Daniel "F4J" Laforest,Daniel "F4J" Laforest,Independent,93,
Quebec,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Charles K. Langford,Charles K. Langford,Conservative Party of Canada,2320,
Quebec,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Samie Pagé-Quirion,Samie Pagé-Quirion,Communist Party of Canada,86,
Quebec,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Dylan Perceval-Maxwell,Dylan Perceval-Maxwell,Green Party of Canada,3801,
Quebec,Laval,Laval,Jean-Pierre Bélisle,Jean-Pierre Bélisle,Conservative Party of Canada,9101,
Quebec,Laval,Laval,Yvon Breton,Yvon Breton,Marxist-Leninist Party of Canada,221,
Quebec,Laval,Laval,Nicole Demers,Nicole Demers,Bloc Québécois,19085,
Quebec,Laval,Laval,Alain Giguère,Alain Giguère,New Democratic Party,6289,
Quebec,Laval,Laval,Alia Haddad,Alia Haddad,Liberal Party of Canada,14190,
Quebec,Laval,Laval,Eric Madelein,Eric Madelein,Green Party of Canada,1607,
Quebec,Laval--Les Îles,Laval--Les Îles,Zahia El-Masri,Zahia El-Masri,New Democratic Party,6124,
Quebec,Laval--Les Îles,Laval--Les Îles,Agop Evereklian,Agop Evereklian,Conservative Party of Canada,11017,
Quebec,Laval--Les Îles,Laval--Les Îles,Raymonde Folco,Raymonde Folco,Liberal Party of Canada,21603,
Quebec,Laval--Les Îles,Laval--Les Îles,Mohamedali Jetha,Mohamedali Jetha,Bloc Québécois,12576,
Quebec,Laval--Les Îles,Laval--Les Îles,Brent Neil,Brent Neil,Green Party of Canada,1752,
Quebec,Laval--Les Îles,Laval--Les Îles,Sylvain A. Trottier,Sylvain A. Trottier,neorhino.ca,336,
Quebec,Lévis--Bellechasse,Lévis--Bellechasse,Guy Bergeron,Guy Bergeron,Bloc Québécois,13747,
Quebec,Lévis--Bellechasse,Lévis--Bellechasse,Gabriel Biron,Gabriel Biron,New Democratic Party,5856,
Quebec,Lévis--Bellechasse,Lévis--Bellechasse,Steven Blaney,Steven Blaney,Conservative Party of Canada,24785,
Quebec,Lévis--Bellechasse,Lévis--Bellechasse,Lynne Champoux-Williams,Lynne Champoux-Williams,Green Party of Canada,1370,
Quebec,Lévis--Bellechasse,Lévis--Bellechasse,Pauline Côté,Pauline Côté,Liberal Party of Canada,8130,
Quebec,Lévis--Bellechasse,Lévis--Bellechasse,Normand Fournier,Normand Fournier,Marxist-Leninist Party of Canada,113,
Quebec,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Jacques Bouchard,Jacques Bouchard,Conservative Party of Canada,7210,
Quebec,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Jean Dorion,Jean Dorion,Bloc Québécois,23118,
Quebec,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Ryan Hillier,Ryan Hillier,Liberal Party of Canada,10920,
Quebec,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Danielle Moreau,Danielle Moreau,Green Party of Canada,1752,
Quebec,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Serge Patenaude,Serge Patenaude,Marxist-Leninist Party of Canada,103,
Quebec,Longueuil--Pierre-Boucher,Longueuil--Pierre-Boucher,Lise St-Denis,Lise St-Denis,New Democratic Party,7021,
Quebec,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,Raymond Côté,Raymond Côté,New Democratic Party,6828,
Quebec,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,Jacques Gourde,Jacques Gourde,Conservative Party of Canada,24495,
Quebec,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,Marie-Thérèse Hovington,Marie-Thérèse Hovington,Liberal Party of Canada,6498,
Quebec,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,Shirley Picknell,Shirley Picknell,Green Party of Canada,1265,
Quebec,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,Antoine Sarrazin-Bourgoin,Antoine Sarrazin-Bourgoin,Bloc Québécois,12738,
Quebec,Louis-Hébert,Louis-Hébert,Jean Beaupré,Jean Beaupré,Liberal Party of Canada,13669,
Quebec,Louis-Hébert,Louis-Hébert,Denis Blanchette,Denis Blanchette,New Democratic Party,5403,
Quebec,Louis-Hébert,Louis-Hébert,Michelle Fontaine,Michelle Fontaine,Green Party of Canada,1408,
Quebec,Louis-Hébert,Louis-Hébert,Luc Harvey,Luc Harvey,Conservative Party of Canada,16343,
Quebec,Louis-Hébert,Louis-Hébert,Stefan Jetchick,Stefan Jetchick,Christian Heritage Party of Canada,119,
Quebec,Louis-Hébert,Louis-Hébert,Pascal-Pierre Paillé,Pascal-Pierre Paillé,Bloc Québécois,20992,
Quebec,Louis-Saint-Laurent,Louis-Saint-Laurent,Jean Cloutier,Jean Cloutier,Green Party of Canada,1260,
Quebec,Louis-Saint-Laurent,Louis-Saint-Laurent,France Gagné,France Gagné,Bloc Québécois,13330,
Quebec,Louis-Saint-Laurent,Louis-Saint-Laurent,Alexandrine Latendresse,Alexandrine Latendresse,New Democratic Party,5252,
Quebec,Louis-Saint-Laurent,Louis-Saint-Laurent,Hélène H. Leone,Hélène H. Leone,Liberal Party of Canada,6712,
Quebec,Louis-Saint-Laurent,Louis-Saint-Laurent,Josée Verner,Josée Verner,Conservative Party of Canada,23683,
Quebec,Manicouagan,Manicouagan,Gérard Asselin,Gérard Asselin,Bloc Québécois,15272,
Quebec,Manicouagan,Manicouagan,Pierre Breton,Pierre Breton,Conservative Party of Canada,8374,
Quebec,Manicouagan,Manicouagan,Michaël Chicoine,Michaël Chicoine,New Democratic Party,1491,
Quebec,Manicouagan,Manicouagan,Jacques Gélineau,Jacques Gélineau,Green Party of Canada,1112,
Quebec,Manicouagan,Manicouagan,Randy Jones,Randy Jones,Liberal Party of Canada,4737,
Quebec,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Benoît Beauchamp,Benoît Beauchamp,New Democratic Party,6907,
Quebec,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Lise Bissonnette,Lise Bissonnette,Green Party of Canada,2178,
Quebec,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Robert Frégeau,Robert Frégeau,Liberal Party of Canada,13728,
Quebec,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Serge Ménard,Serge Ménard,Bloc Québécois,25552,
Quebec,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Claude Moreau,Claude Moreau,Conservative Party of Canada,7759,
Quebec,Haute-Gaspésie--La Mitis--Matane--Matapédia,Haute-Gaspésie--La Mitis--Matane--Matapédia,Nancy Charest,Nancy Charest,Liberal Party of Canada,11368,
Quebec,Haute-Gaspésie--La Mitis--Matane--Matapédia,Haute-Gaspésie--La Mitis--Matane--Matapédia,Julie Demers,Julie Demers,New Democratic Party,1497,
Quebec,Haute-Gaspésie--La Mitis--Matane--Matapédia,Haute-Gaspésie--La Mitis--Matane--Matapédia,Louis Drainville,Louis Drainville,Green Party of Canada,1139,
Quebec,Haute-Gaspésie--La Mitis--Matane--Matapédia,Haute-Gaspésie--La Mitis--Matane--Matapédia,Jérôme Landry,Jérôme Landry,Conservative Party of Canada,5771,
Quebec,Haute-Gaspésie--La Mitis--Matane--Matapédia,Haute-Gaspésie--La Mitis--Matane--Matapédia,Liliane Potvin,Liliane Potvin,Independent,175,
Quebec,Haute-Gaspésie--La Mitis--Matane--Matapédia,Haute-Gaspésie--La Mitis--Matane--Matapédia,Jean-Yves Roy,Jean-Yves Roy,Bloc Québécois,11984,
Quebec,Mégantic--L'Érable,Mégantic--L'Érable,Nicole Champagne,Nicole Champagne,Liberal Party of Canada,6185,
Quebec,Mégantic--L'Érable,Mégantic--L'Érable,Jean-R. Guernon,Jean-R. Guernon,Green Party of Canada,959,
Quebec,Mégantic--L'Érable,Mégantic--L'Érable,Christian Paradis,Christian Paradis,Conservative Party of Canada,20697,
Quebec,Mégantic--L'Érable,Mégantic--L'Érable,Pierre Turcotte,Pierre Turcotte,Bloc Québécois,12283,
Quebec,Mégantic--L'Érable,Mégantic--L'Érable,Bruno Vézina,Bruno Vézina,New Democratic Party,4191,
Quebec,Montcalm,Montcalm,Marie-Josée Beauchamp,Marie-Josée Beauchamp,New Democratic Party,8337,
Quebec,Montcalm,Montcalm,Claude Marc Boudreau,Claude Marc Boudreau,Conservative Party of Canada,8096,
Quebec,Montcalm,Montcalm,Roger Gaudet,Roger Gaudet,Bloc Québécois,33519,
Quebec,Montcalm,Montcalm,David Grégoire,David Grégoire,Liberal Party of Canada,8387,
Quebec,Montcalm,Montcalm,Michel Paulette,Michel Paulette,Green Party of Canada,1854,
Quebec,Mount Royal,Mont-Royal,Tyrell Alexander,Tyrell Alexander,Green Party of Canada,1565,
Quebec,Mount Royal,Mont-Royal,Antonio Artuso,Antonio Artuso,Communist Party of Canada,89,
Quebec,Mount Royal,Mont-Royal,Irwin Cotler,Irwin Cotler,Liberal Party of Canada,19702,
Quebec,Mount Royal,Mont-Royal,Diane Johnston,Diane Johnston,Marxist-Leninist Party of Canada,97,
Quebec,Mount Royal,Mont-Royal,Maryse Lavallée,Maryse Lavallée,Bloc Québécois,1543,
Quebec,Mount Royal,Mont-Royal,Nicolas Thibodeau,Nicolas Thibodeau,New Democratic Party,2733,
Quebec,Mount Royal,Mont-Royal,Rafael Tzoubari,Rafael Tzoubari,Conservative Party of Canada,9676,
Quebec,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce--Lachine,Peter Deslauriers,Peter Deslauriers,New Democratic Party,6641,
Quebec,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce--Lachine,Jessica Gal,Jessica Gal,Green Party of Canada,3378,
Quebec,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce--Lachine,Rachel Hoffman,Rachel Hoffman,Marxist-Leninist Party of Canada,177,
Quebec,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce--Lachine,Marlene Jennings,Marlene Jennings,Liberal Party of Canada,19554,
Quebec,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce--Lachine,Carmine Pontillo,Carmine Pontillo,Conservative Party of Canada,7108,
Quebec,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce--Lachine,Eric Taillefer,Eric Taillefer,Bloc Québécois,6962,
Quebec,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Mark Canada,Mark Canada,Liberal Party of Canada,5108,
Quebec,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Yvon Lévesque,Yvon Lévesque,Bloc Québécois,10995,
Quebec,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Erica Martin,Erica Martin,New Democratic Party,2276,
Quebec,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Jean-Maurice Matte,Jean-Maurice Matte,Conservative Party of Canada,8422,
Quebec,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Patrick Rancourt,Patrick Rancourt,Green Party of Canada,928,
Quebec,Outremont,Outremont,Sébastien Dhavernas,Sébastien Dhavernas,Liberal Party of Canada,12005,
Quebec,Outremont,Outremont,Lulzim Laloshi,Lulzim Laloshi,Conservative Party of Canada,3820,
Quebec,Outremont,Outremont,Thomas Mulcair,Thomas Mulcair,New Democratic Party,14348,
Quebec,Outremont,Outremont,F. Monsieur Corde à Linge Pilon,F. Monsieur Corde à Linge Pilon,Green Party of Canada,1566,
Quebec,Outremont,Outremont,Marcela Valdivia,Marcela Valdivia,Bloc Québécois,4554,
Quebec,Papineau,Papineau,Mahmood Raza Baig,Mahmood Raza Baig,Independent,267,
Quebec,Papineau,Papineau,Vivian Barbot,Vivian Barbot,Bloc Québécois,16535,
Quebec,Papineau,Papineau,Ingrid Hein,Ingrid Hein,Green Party of Canada,1213,
Quebec,Papineau,Papineau,Mustaque Sarker,Mustaque Sarker,Conservative Party of Canada,3262,
Quebec,Papineau,Papineau,Justin Trudeau,Justin Trudeau,Liberal Party of Canada,17724,
Quebec,Papineau,Papineau,Costa Zafiropoulos,Costa Zafiropoulos,New Democratic Party,3734,
Quebec,Pierrefonds--Dollard,Pierrefonds--Dollard,Pierre-Olivier Brunelle,Pierre-Olivier Brunelle,Conservative Party of Canada,11815,
Quebec,Pierrefonds--Dollard,Pierrefonds--Dollard,Marsha Fine,Marsha Fine,Marxist-Leninist Party of Canada,111,
Quebec,Pierrefonds--Dollard,Pierrefonds--Dollard,Reny Gagnon,Reny Gagnon,Bloc Québécois,4357,
Quebec,Pierrefonds--Dollard,Pierrefonds--Dollard,Bernard Patry,Bernard Patry,Liberal Party of Canada,21468,
Quebec,Pierrefonds--Dollard,Pierrefonds--Dollard,Shameem Siddiqui,Shameem Siddiqui,New Democratic Party,4823,
Quebec,Pierrefonds--Dollard,Pierrefonds--Dollard,Ryan Young,Ryan Young,Green Party of Canada,3161,
Quebec,Pontiac,Pontiac,Céline Brault,Céline Brault,New Democratic Party,6616,
Quebec,Pontiac,Pontiac,Lawrence Cannon,Lawrence Cannon,Conservative Party of Canada,14023,
Quebec,Pontiac,Pontiac,Cindy Duncan McMillan,Cindy Duncan McMillan,Liberal Party of Canada,10396,
Quebec,Pontiac,Pontiac,Benoit Legros,Benoit Legros,Marxist-Leninist Party of Canada,112,
Quebec,Pontiac,Pontiac,André Sylvestre,André Sylvestre,Green Party of Canada,2148,
Quebec,Pontiac,Pontiac,Marius Tremblay,Marius Tremblay,Bloc Québécois,9576,
Quebec,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,André Arthur,André Arthur,Independent,15063,
Quebec,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Stéphane Asselin,Stéphane Asselin,Liberal Party of Canada,7320,
Quebec,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Richard Côté,Richard Côté,Bloc Québécois,14401,
Quebec,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Jean Paradis,Jean Paradis,Independent,1039,
Quebec,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,André Turgeon,André Turgeon,New Democratic Party,5707,
Quebec,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier,Nathan John Weatherdon,Nathan John Weatherdon,Green Party of Canada,1452,
Quebec,Québec,Québec,Yonnel Bonaventure,Yonnel Bonaventure,Green Party of Canada,1650,
Quebec,Québec,Québec,Christiane Gagnon,Christiane Gagnon,Bloc Québécois,21064,
Quebec,Québec,Québec,Damien Rousseau,Damien Rousseau,Liberal Party of Canada,8845,
Quebec,Québec,Québec,Catherine Roy-Goyette,Catherine Roy-Goyette,New Democratic Party,5933,
Quebec,Québec,Québec,Myriam Taschereau,Myriam Taschereau,Conservative Party of Canada,12943,
Quebec,Repentigny,Repentigny,Réjean Bellemare,Réjean Bellemare,New Democratic Party,8853,
Quebec,Repentigny,Repentigny,Nicolas Dufour,Nicolas Dufour,Bloc Québécois,31007,
Quebec,Repentigny,Repentigny,Paul W. Fournier,Paul W. Fournier,Green Party of Canada,1666,
Quebec,Repentigny,Repentigny,Bruno Royer,Bruno Royer,Conservative Party of Canada,8168,
Quebec,Repentigny,Repentigny,Robert Semegen,Robert Semegen,Liberal Party of Canada,8751,
Quebec,Bas-Richelieu--Nicolet--Bécancour,Bas-Richelieu--Nicolet--Bécancour,Réjean Bériault,Réjean Bériault,Conservative Party of Canada,8904,
Quebec,Bas-Richelieu--Nicolet--Bécancour,Bas-Richelieu--Nicolet--Bécancour,Ghislaine Cournoyer,Ghislaine Cournoyer,Liberal Party of Canada,7987,
Quebec,Bas-Richelieu--Nicolet--Bécancour,Bas-Richelieu--Nicolet--Bécancour,Rebecca Laplante,Rebecca Laplante,Green Party of Canada,1334,
Quebec,Bas-Richelieu--Nicolet--Bécancour,Bas-Richelieu--Nicolet--Bécancour,Louis Plamondon,Louis Plamondon,Bloc Québécois,26821,
Quebec,Bas-Richelieu--Nicolet--Bécancour,Bas-Richelieu--Nicolet--Bécancour,Nourredine Seddiki,Nourredine Seddiki,New Democratic Party,4010,
Quebec,Richmond--Arthabaska,Richmond--Arthabaska,André Bellavance,André Bellavance,Bloc Québécois,23913,
Quebec,Richmond--Arthabaska,Richmond--Arthabaska,François Fillion,François Fillion,Green Party of Canada,1337,
Quebec,Richmond--Arthabaska,Richmond--Arthabaska,Gwyneth Helen Grant,Gwyneth Helen Grant,Liberal Party of Canada,6599,
Quebec,Richmond--Arthabaska,Richmond--Arthabaska,Jean Landry,Jean Landry,Independent,526,
Quebec,Richmond--Arthabaska,Richmond--Arthabaska,Éric Lefebvre,Éric Lefebvre,Conservative Party of Canada,15080,
Quebec,Richmond--Arthabaska,Richmond--Arthabaska,Stéphane Ricard,Stéphane Ricard,New Democratic Party,4509,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Pierre Béland,Pierre Béland,Liberal Party of Canada,7937,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Guy Caron,Guy Caron,New Democratic Party,4084,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Claude Guimond,Claude Guimond,Bloc Québécois,17652,
Quebec,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,James D. Morrison,James D. Morrison,Green Party of Canada,645,
