Province,Riding English,Riding French,Candidate English,Candidate French,Party,Votes,Elected
Manitoba,Charleswood--St. James--Assiniboia,Charleswood--St. James--Assiniboia,Steven Fletcher,Steven Fletcher,Conservative Party of Canada,21588,
Manitoba,Charleswood--St. James--Assiniboia,Charleswood--St. James--Assiniboia,Bob Friesen,Bob Friesen,Liberal Party of Canada,8514,
Manitoba,Charleswood--St. James--Assiniboia,Charleswood--St. James--Assiniboia,Mark Price,Mark Price,Christian Heritage Party of Canada,180,
Manitoba,Charleswood--St. James--Assiniboia,Charleswood--St. James--Assiniboia,Fiona Shiells,Fiona Shiells,New Democratic Party,7210,
Manitoba,Charleswood--St. James--Assiniboia,Charleswood--St. James--Assiniboia,Brian Timlick,Brian Timlick,Green Party of Canada,2614,
Manitoba,Churchill,Churchill,Niki Ashton,Niki Ashton,New Democratic Party,8735,
Manitoba,Churchill,Churchill,Wally Daudrich,Wally Daudrich,Conservative Party of Canada,3774,
Manitoba,Churchill,Churchill,Saara Harvie,Saara Harvie,Green Party of Canada,606,
Manitoba,Churchill,Churchill,Tina Keeper,Tina Keeper,Liberal Party of Canada,5313,
Manitoba,Dauphin--Swan River--Marquette,Dauphin--Swan River--Marquette,David Andres,David Andres,Christian Heritage Party of Canada,356,
Manitoba,Dauphin--Swan River--Marquette,Dauphin--Swan River--Marquette,Inky Mark,Inky Mark,Conservative Party of Canada,18121,
Manitoba,Dauphin--Swan River--Marquette,Dauphin--Swan River--Marquette,Wendy Menzies,Wendy Menzies,Liberal Party of Canada,4084,
Manitoba,Dauphin--Swan River--Marquette,Dauphin--Swan River--Marquette,Charles Prefontaine,Charles Prefontaine,People's Political Power Party of Canada,95,
Manitoba,Dauphin--Swan River--Marquette,Dauphin--Swan River--Marquette,Kate Storey,Kate Storey,Green Party of Canada,1916,
Manitoba,Dauphin--Swan River--Marquette,Dauphin--Swan River--Marquette,Ron Strynadka,Ron Strynadka,New Democratic Party,4874,
Manitoba,Elmwood--Transcona,Elmwood--Transcona,Chris Hrynkow,Chris Hrynkow,Green Party of Canada,1839,
Manitoba,Elmwood--Transcona,Elmwood--Transcona,Jim Maloway,Jim Maloway,New Democratic Party,14355,
Manitoba,Elmwood--Transcona,Elmwood--Transcona,Wes Penner,Wes Penner,Liberal Party of Canada,2079,
Manitoba,Elmwood--Transcona,Elmwood--Transcona,Robert Scott,Robert Scott,Christian Heritage Party of Canada,312,
Manitoba,Elmwood--Transcona,Elmwood--Transcona,Thomas Steen,Thomas Steen,Conservative Party of Canada,12653,
Manitoba,Kildonan--St. Paul,Kildonan--St. Paul,Kevan Bowkett,Kevan Bowkett,Green Party of Canada,1679,
Manitoba,Kildonan--St. Paul,Kildonan--St. Paul,Ross Eadie,Ross Eadie,New Democratic Party,12093,
Manitoba,Kildonan--St. Paul,Kildonan--St. Paul,Eduard Hiebert,Eduard Hiebert,Independent,214,
Manitoba,Kildonan--St. Paul,Kildonan--St. Paul,Lesley Hughes,Lesley Hughes,Liberal Party of Canada,3009,
Manitoba,Kildonan--St. Paul,Kildonan--St. Paul,Jordan Loewen,Jordan Loewen,Christian Heritage Party of Canada,233,
Manitoba,Kildonan--St. Paul,Kildonan--St. Paul,Joy Smith,Joy Smith,Conservative Party of Canada,19750,
Manitoba,Portage--Lisgar,Portage--Lisgar,Mohamed Alli,Mohamed Alli,New Democratic Party,2358,
Manitoba,Portage--Lisgar,Portage--Lisgar,Candice Hoeppner,Candice Hoeppner,Conservative Party of Canada,22032,
Manitoba,Portage--Lisgar,Portage--Lisgar,Charlie Howatt,Charlie Howatt,Green Party of Canada,2606,
Manitoba,Portage--Lisgar,Portage--Lisgar,Ted Klassen,Ted Klassen,Liberal Party of Canada,4474,
Manitoba,Portage--Lisgar,Portage--Lisgar,Len Lodder,Len Lodder,Christian Heritage Party of Canada,983,
Manitoba,Provencher,Provencher,Janine Gibson,Janine Gibson,Green Party of Canada,2149,
Manitoba,Provencher,Provencher,Shirley Hiebert,Shirley Hiebert,Liberal Party of Canada,4530,
Manitoba,Provencher,Provencher,Ross Martin,Ross Martin,New Democratic Party,5047,
Manitoba,Provencher,Provencher,David Reimer,David Reimer,Christian Heritage Party of Canada,1170,
Manitoba,Provencher,Provencher,Vic Toews,Vic Toews,Conservative Party of Canada,23303,
Manitoba,Saint Boniface,Saint-Boniface,Shelly Glover,Shelly Glover,Conservative Party of Canada,19440,
Manitoba,Saint Boniface,Saint-Boniface,Justin Gregoire,Justin Gregoire,Christian Heritage Party of Canada,195,
Manitoba,Saint Boniface,Saint-Boniface,Marc Payette,Marc Payette,Green Party of Canada,2104,
Manitoba,Saint Boniface,Saint-Boniface,Matt Schaubroeck,Matt Schaubroeck,New Democratic Party,5502,
Manitoba,Saint Boniface,Saint-Boniface,Raymond Simard,Raymond Simard,Liberal Party of Canada,14728,
Manitoba,Selkirk--Interlake,Selkirk--Interlake,James Bezan,James Bezan,Conservative Party of Canada,23312,
Manitoba,Selkirk--Interlake,Selkirk--Interlake,Pat Cordner,Pat Cordner,New Democratic Party,9506,
Manitoba,Selkirk--Interlake,Selkirk--Interlake,Jane MacDiarmid,Jane MacDiarmid,Christian Heritage Party of Canada,295,
Manitoba,Selkirk--Interlake,Selkirk--Interlake,Kevin Walsh,Kevin Walsh,Liberal Party of Canada,3203,
Manitoba,Selkirk--Interlake,Selkirk--Interlake,Glenda Whiteman,Glenda Whiteman,Green Party of Canada,2126,
Manitoba,Winnipeg Centre,Winnipeg-Centre,Ed Ackerman,Ed Ackerman,Independent,135,
Manitoba,Winnipeg Centre,Winnipeg-Centre,Joe Chan,Joe Chan,Independent,226,
Manitoba,Winnipeg Centre,Winnipeg-Centre,Kenny Daodu,Kenny Daodu,Conservative Party of Canada,5437,
Manitoba,Winnipeg Centre,Winnipeg-Centre,Dan Hurley,Dan Hurley,Liberal Party of Canada,3922,
Manitoba,Winnipeg Centre,Winnipeg-Centre,Jessie Klassen,Jessie Klassen,Green Party of Canada,2798,
Manitoba,Winnipeg Centre,Winnipeg-Centre,Pat Martin,Pat Martin,New Democratic Party,12285,
Manitoba,Winnipeg Centre,Winnipeg-Centre,Lyle Morrisseau,Lyle Morrisseau,First Peoples National Party of Canada,212,
Manitoba,Winnipeg Centre,Winnipeg-Centre,Darrell Rankin,Darrell Rankin,Communist Party of Canada,119,
Manitoba,Winnipeg North,Winnipeg-Nord,Catharine Johannson,Catharine Johannson,Green Party of Canada,1077,
Manitoba,Winnipeg North,Winnipeg-Nord,Frank Komarniski,Frank Komarniski,Communist Party of Canada,151,
Manitoba,Winnipeg North,Winnipeg-Nord,Ray Larkin,Ray Larkin,Conservative Party of Canada,5033,
Manitoba,Winnipeg North,Winnipeg-Nord,Marcelle Marion,Marcelle Marion,Liberal Party of Canada,2075,
Manitoba,Winnipeg North,Winnipeg-Nord,Roger F. Poisson,Roger F. Poisson,People's Political Power Party of Canada,90,
Manitoba,Winnipeg North,Winnipeg-Nord,Judy Wasylycia-Leis,Judy Wasylycia-Leis,New Democratic Party,14097,
Manitoba,Winnipeg South,Winnipeg-Sud,Rod Bruinooge,Rod Bruinooge,Conservative Party of Canada,19943,
Manitoba,Winnipeg South,Winnipeg-Sud,David Cosby,David Cosby,Green Party of Canada,1936,
Manitoba,Winnipeg South,Winnipeg-Sud,John Loewen,John Loewen,Liberal Party of Canada,14108,
Manitoba,Winnipeg South,Winnipeg-Sud,Heidi Loewen-Steffano,Heidi Loewen-Steffano,Christian Heritage Party of Canada,173,
Manitoba,Winnipeg South,Winnipeg-Sud,Sean Robert,Sean Robert,New Democratic Party,4671,
Manitoba,Winnipeg South Centre,Winnipeg-Centre-Sud,Rachel Heinrichs,Rachel Heinrichs,New Democratic Party,5490,
Manitoba,Winnipeg South Centre,Winnipeg-Centre-Sud,Trevor Kennerd,Trevor Kennerd,Conservative Party of Canada,14108,
Manitoba,Winnipeg South Centre,Winnipeg-Centre-Sud,Anita Neville,Anita Neville,Liberal Party of Canada,16438,
Manitoba,Winnipeg South Centre,Winnipeg-Centre-Sud,Vere Scott,Vere Scott,Green Party of Canada,2865,
Saskatchewan,Battlefords--Lloydminster,Battlefords--Lloydminster,Norbert Kratchmer,Norbert Kratchmer,Green Party of Canada,1287,
Saskatchewan,Battlefords--Lloydminster,Battlefords--Lloydminster,Gregory Nyholt,Gregory Nyholt,Liberal Party of Canada,2140,
Saskatchewan,Battlefords--Lloydminster,Battlefords--Lloydminster,Gerry Ritz,Gerry Ritz,Conservative Party of Canada,15621,
Saskatchewan,Battlefords--Lloydminster,Battlefords--Lloydminster,Harold Stephan,Harold Stephan,Christian Heritage Party of Canada,368,
Saskatchewan,Battlefords--Lloydminster,Battlefords--Lloydminster,Bob Woloshyn,Bob Woloshyn,New Democratic Party,6573,
Saskatchewan,Blackstrap,Blackstrap,Deb Ehmann,Deb Ehmann,Liberal Party of Canada,5509,
Saskatchewan,Blackstrap,Blackstrap,Patti Gieni,Patti Gieni,New Democratic Party,9876,
Saskatchewan,Blackstrap,Blackstrap,Imre Pallagi,Imre Pallagi,Green Party of Canada,2325,
Saskatchewan,Blackstrap,Blackstrap,Lynne Yelich,Lynne Yelich,Conservative Party of Canada,20746,
Saskatchewan,Desnethé--Missinippi--Churchill River,Desnethé--Missinippi--Rivière Churchill,Rob Ballantyne,Rob Ballantyne,First Peoples National Party of Canada,282,
Saskatchewan,Desnethé--Missinippi--Churchill River,Desnethé--Missinippi--Rivière Churchill,Rob Clarke,Rob Clarke,Conservative Party of Canada,8964,
Saskatchewan,Desnethé--Missinippi--Churchill River,Desnethé--Missinippi--Rivière Churchill,Brian Morin,Brian Morin,New Democratic Party,3412,
Saskatchewan,Desnethé--Missinippi--Churchill River,Desnethé--Missinippi--Rivière Churchill,George Morin,George Morin,Green Party of Canada,735,
Saskatchewan,Desnethé--Missinippi--Churchill River,Desnethé--Missinippi--Rivière Churchill,David Orchard,David Orchard,Liberal Party of Canada,5816,
Saskatchewan,Cypress Hills--Grasslands,Cypress Hills--Grasslands,David Anderson,David Anderson,Conservative Party of Canada,17921,
Saskatchewan,Cypress Hills--Grasslands,Cypress Hills--Grasslands,Bill Clary,Bill Clary,Green Party of Canada,1919,
Saskatchewan,Cypress Hills--Grasslands,Cypress Hills--Grasslands,Duane Filson,Duane Filson,Liberal Party of Canada,3691,
Saskatchewan,Cypress Hills--Grasslands,Cypress Hills--Grasslands,Scott Wilson,Scott Wilson,New Democratic Party,4315,
Saskatchewan,Palliser,Palliser,Ray Boughen,Ray Boughen,Conservative Party of Canada,14160,
Saskatchewan,Palliser,Palliser,Cal Johnston,Cal Johnston,Liberal Party of Canada,5489,
Saskatchewan,Palliser,Palliser,Don Mitchell,Don Mitchell,New Democratic Party,10870,
Saskatchewan,Palliser,Palliser,Larissa Shasko,Larissa Shasko,Green Party of Canada,1668,
Saskatchewan,Prince Albert,Prince Albert,Craig Batley,Craig Batley,Canadian Action Party,169,
Saskatchewan,Prince Albert,Prince Albert,Lou Doderai,Lou Doderai,Liberal Party of Canada,2289,
Saskatchewan,Prince Albert,Prince Albert,Randy Hoback,Randy Hoback,Conservative Party of Canada,16541,
Saskatchewan,Prince Albert,Prince Albert,Valerie Mushinski,Valerie Mushinski,New Democratic Party,8950,
Saskatchewan,Prince Albert,Prince Albert,Amanda Judith Marie Smytaniuk,Amanda Judith Marie Smytaniuk,Green Party of Canada,1413,
Saskatchewan,Regina--Lumsden--Lake Centre,Regina--Lumsden--Lake Centre,Fred Kress,Fred Kress,New Democratic Party,8963,
Saskatchewan,Regina--Lumsden--Lake Centre,Regina--Lumsden--Lake Centre,Tom Lukiwski,Tom Lukiwski,Conservative Party of Canada,16053,
Saskatchewan,Regina--Lumsden--Lake Centre,Regina--Lumsden--Lake Centre,Monica Lysack,Monica Lysack,Liberal Party of Canada,4668,
Saskatchewan,Regina--Lumsden--Lake Centre,Regina--Lumsden--Lake Centre,Nicolas Stulberg,Nicolas Stulberg,Green Party of Canada,1737,
Saskatchewan,Regina--Qu'Appelle,Regina--Qu'Appelle,Janice Bernier,Janice Bernier,New Democratic Party,8701,
Saskatchewan,Regina--Qu'Appelle,Regina--Qu'Appelle,Greg Chatterson,Greg Chatterson,Green Party of Canada,1561,
Saskatchewan,Regina--Qu'Appelle,Regina--Qu'Appelle,Rod Flaman,Rod Flaman,Liberal Party of Canada,2836,
Saskatchewan,Regina--Qu'Appelle,Regina--Qu'Appelle,Andrew Scheer,Andrew Scheer,Conservative Party of Canada,14034,
Saskatchewan,Saskatoon--Humboldt,Saskatoon--Humboldt,Jean-Pierre Ducasse,Jean-Pierre Ducasse,Green Party of Canada,2211,
Saskatchewan,Saskatoon--Humboldt,Saskatoon--Humboldt,Karen Parhar,Karen Parhar,Liberal Party of Canada,4135,
Saskatchewan,Saskatoon--Humboldt,Saskatoon--Humboldt,Scott Ruston,Scott Ruston,New Democratic Party,9632,
Saskatchewan,Saskatoon--Humboldt,Saskatoon--Humboldt,Brad Trost,Brad Trost,Conservative Party of Canada,18610,
Saskatchewan,Saskatoon--Rosetown--Biggar,Saskatoon--Rosetown--Biggar,Rick Barsky,Rick Barsky,Independent,134,
Saskatchewan,Saskatoon--Rosetown--Biggar,Saskatoon--Rosetown--Biggar,Kelly Block,Kelly Block,Conservative Party of Canada,12166,
Saskatchewan,Saskatoon--Rosetown--Biggar,Saskatoon--Rosetown--Biggar,Roy Bluehorn,Roy Bluehorn,Liberal Party of Canada,1176,
Saskatchewan,Saskatoon--Rosetown--Biggar,Saskatoon--Rosetown--Biggar,Marcel Leon Bourassa,Marcel Leon Bourassa,Christian Heritage Party of Canada,111,
Saskatchewan,Saskatoon--Rosetown--Biggar,Saskatoon--Rosetown--Biggar,Amber Jones,Amber Jones,Green Party of Canada,1228,
Saskatchewan,Saskatoon--Rosetown--Biggar,Saskatoon--Rosetown--Biggar,Kevin Stricker,Kevin Stricker,Libertarian Party of Canada,74,
Saskatchewan,Saskatoon--Rosetown--Biggar,Saskatoon--Rosetown--Biggar,Nettie Wiebe,Nettie Wiebe,New Democratic Party,11913,
Saskatchewan,Saskatoon--Wanuskewin,Saskatoon--Wanuskewin,Clint Davidson,Clint Davidson,New Democratic Party,7902,
Saskatchewan,Saskatoon--Wanuskewin,Saskatoon--Wanuskewin,Tobi-Dawne Smith,Tobi-Dawne Smith,Green Party of Canada,2182,
Saskatchewan,Saskatoon--Wanuskewin,Saskatoon--Wanuskewin,Maurice Vellacott,Maurice Vellacott,Conservative Party of Canada,18275,
Saskatchewan,Saskatoon--Wanuskewin,Saskatoon--Wanuskewin,Patricia Zipchen,Patricia Zipchen,Liberal Party of Canada,4020,
Saskatchewan,Souris--Moose Mountain,Souris--Moose Mountain,Marlin Belt,Marlin Belt,Liberal Party of Canada,1834,
Saskatchewan,Souris--Moose Mountain,Souris--Moose Mountain,Bob Deptuck,Bob Deptuck,Green Party of Canada,1643,
Saskatchewan,Souris--Moose Mountain,Souris--Moose Mountain,Raquel Fletcher,Raquel Fletcher,New Democratic Party,4599,
Saskatchewan,Souris--Moose Mountain,Souris--Moose Mountain,Ed Komarnicki,Ed Komarnicki,Conservative Party of Canada,19293,
Saskatchewan,Wascana,Wascana,Ralph Goodale,Ralph Goodale,Liberal Party of Canada,17028,
Saskatchewan,Wascana,Wascana,Michelle Hunter,Michelle Hunter,Conservative Party of Canada,12719,
Saskatchewan,Wascana,Wascana,Stephen Moore,Stephen Moore,New Democratic Party,5507,
Saskatchewan,Wascana,Wascana,George-Richard Wooldridge,George-Richard Wooldridge,Green Party of Canada,1706,
Saskatchewan,Yorkton--Melville,Yorkton--Melville,Jen Antony,Jen Antony,Green Party of Canada,1664,
Saskatchewan,Yorkton--Melville,Yorkton--Melville,Bryan H. Bell,Bryan H. Bell,Liberal Party of Canada,1578,
Saskatchewan,Yorkton--Melville,Yorkton--Melville,Garry Breitkreuz,Garry Breitkreuz,Conservative Party of Canada,19824,
Saskatchewan,Yorkton--Melville,Yorkton--Melville,Doug Ottenbreit,Doug Ottenbreit,New Democratic Party,6076,
Alberta,Fort McMurray--Athabasca,Fort McMurray--Athabasca,Brian Jean,Brian Jean,Conservative Party of Canada,17160,
Alberta,Fort McMurray--Athabasca,Fort McMurray--Athabasca,John Malcolm,John Malcolm,First Peoples National Party of Canada,244,
Alberta,Fort McMurray--Athabasca,Fort McMurray--Athabasca,Shawn Reimer,Shawn Reimer,Independent,382,
Alberta,Fort McMurray--Athabasca,Fort McMurray--Athabasca,Dylan Richards,Dylan Richards,Green Party of Canada,1619,
Alberta,Fort McMurray--Athabasca,Fort McMurray--Athabasca,Jacob Strydhorst,Jacob Strydhorst,Christian Heritage Party of Canada,186,
Alberta,Fort McMurray--Athabasca,Fort McMurray--Athabasca,Mark Voyageur,Mark Voyageur,New Democratic Party,3267,
Alberta,Fort McMurray--Athabasca,Fort McMurray--Athabasca,John Webb,John Webb,Liberal Party of Canada,2689,
Alberta,Calgary East,Calgary-Est,Nathan David Coates,Nathan David Coates,Green Party of Canada,3403,
Alberta,Calgary East,Calgary-Est,Jason Devine,Jason Devine,Communist Party of Canada,323,
Alberta,Calgary East,Calgary-Est,Bernie Kennedy,Bernie Kennedy,Liberal Party of Canada,3255,
Alberta,Calgary East,Calgary-Est,Deepak Obhrai,Deepak Obhrai,Conservative Party of Canada,21311,
Alberta,Calgary East,Calgary-Est,Ian Vaughan,Ian Vaughan,New Democratic Party,3768,
Alberta,Calgary Centre-North,Calgary-Centre-Nord,Peggy Askin,Peggy Askin,Marxist-Leninist Party of Canada,184,
Alberta,Calgary Centre-North,Calgary-Centre-Nord,John Chan,John Chan,New Democratic Party,7417,
Alberta,Calgary Centre-North,Calgary-Centre-Nord,Eric Donovan,Eric Donovan,Green Party of Canada,7403,
Alberta,Calgary Centre-North,Calgary-Centre-Nord,Doug James,Doug James,Liberal Party of Canada,5699,
Alberta,Calgary Centre-North,Calgary-Centre-Nord,Jason E. McNeil,Jason E. McNeil,Libertarian Party of Canada,345,
Alberta,Calgary Centre-North,Calgary-Centre-Nord,Jim Prentice,Jim Prentice,Conservative Party of Canada,27371,
Alberta,Calgary Northeast,Calgary-Nord-Est,Abeed Monty Ahmad,Abeed Monty Ahmad,Green Party of Canada,2035,
Alberta,Calgary Northeast,Calgary-Nord-Est,Daniel Blanchard,Daniel Blanchard,Marxist-Leninist Party of Canada,211,
Alberta,Calgary Northeast,Calgary-Nord-Est,Vinay Dey,Vinay Dey,New Democratic Party,3279,
Alberta,Calgary Northeast,Calgary-Nord-Est,Sanam S. Kang,Sanam S. Kang,Liberal Party of Canada,7435,
Alberta,Calgary Northeast,Calgary-Nord-Est,Roger Richard,Roger Richard,No Affiliation,4837,
Alberta,Calgary Northeast,Calgary-Nord-Est,Devinder Shory,Devinder Shory,Conservative Party of Canada,18917,
Alberta,Calgary--Nose Hill,Calgary--Nose Hill,Diane Ablonczy,Diane Ablonczy,Conservative Party of Canada,35029,
Alberta,Calgary--Nose Hill,Calgary--Nose Hill,Tony Hajj,Tony Hajj,Green Party of Canada,4669,
Alberta,Calgary--Nose Hill,Calgary--Nose Hill,Anoush Newman,Anoush Newman,Liberal Party of Canada,6653,
Alberta,Calgary--Nose Hill,Calgary--Nose Hill,Stephanie Sundberg,Stephanie Sundberg,New Democratic Party,3953,
Alberta,Calgary Centre,Calgary-Centre,Antony Tony Grochowski,Antony Tony Grochowski,Independent,413,
Alberta,Calgary Centre,Calgary-Centre,Heesung Kim,Heesung Kim,Liberal Party of Canada,8235,
Alberta,Calgary Centre,Calgary-Centre,Tyler Kinch,Tyler Kinch,New Democratic Party,4204,
Alberta,Calgary Centre,Calgary-Centre,Natalie Odd,Natalie Odd,Green Party of Canada,7661,
Alberta,Calgary Centre,Calgary-Centre,Lee Richardson,Lee Richardson,Conservative Party of Canada,25302,
Alberta,Calgary Southeast,Calgary-Sud-Est,Brad Carroll,Brad Carroll,Liberal Party of Canada,4880,
Alberta,Calgary Southeast,Calgary-Sud-Est,Margaret Chandler,Margaret Chandler,Green Party of Canada,5744,
Alberta,Calgary Southeast,Calgary-Sud-Est,Jason Kenney,Jason Kenney,Conservative Party of Canada,41322,
Alberta,Calgary Southeast,Calgary-Sud-Est,Chris Willott,Chris Willott,New Democratic Party,4024,
Alberta,Calgary Southwest,Calgary-Sud-Ouest,Kelly Christie,Kelly Christie,Green Party of Canada,4732,
Alberta,Calgary Southwest,Calgary-Sud-Ouest,Stephen Harper,Stephen Harper,Conservative Party of Canada,38545,
Alberta,Calgary Southwest,Calgary-Sud-Ouest,Larry R. Heather,Larry R. Heather,Christian Heritage Party of Canada,256,
Alberta,Calgary Southwest,Calgary-Sud-Ouest,Holly Heffernan,Holly Heffernan,New Democratic Party,4122,
Alberta,Calgary Southwest,Calgary-Sud-Ouest,Marlene Lamontagne,Marlene Lamontagne,Liberal Party of Canada,4918,
Alberta,Calgary Southwest,Calgary-Sud-Ouest,Dennis Young,Dennis Young,Libertarian Party of Canada,277,
Alberta,Calgary West,Calgary-Ouest,Rob Anders,Rob Anders,Conservative Party of Canada,34490,
Alberta,Calgary West,Calgary-Ouest,Teale Phelps Bondaroff,Teale Phelps Bondaroff,New Democratic Party,3832,
Alberta,Calgary West,Calgary-Ouest,Jennifer Pollock,Jennifer Pollock,Liberal Party of Canada,13198,
Alberta,Calgary West,Calgary-Ouest,Kirk Schmidt,Kirk Schmidt,Independent,1790,
Alberta,Calgary West,Calgary-Ouest,André Vachon,André Vachon,Marxist-Leninist Party of Canada,155,
Alberta,Calgary West,Calgary-Ouest,Randy Weeks,Randy Weeks,Green Party of Canada,6722,
Alberta,Crowfoot,Crowfoot,Sharon L. Howe,Sharon L. Howe,Liberal Party of Canada,1962,
Alberta,Crowfoot,Crowfoot,Kaitlin Kettenbach,Kaitlin Kettenbach,Green Party of Canada,2869,
Alberta,Crowfoot,Crowfoot,Ellen Parker,Ellen Parker,New Democratic Party,3796,
Alberta,Crowfoot,Crowfoot,Kevin Sorenson,Kevin Sorenson,Conservative Party of Canada,39396,
Alberta,Edmonton--Mill Woods--Beaumont,Edmonton--Mill Woods--Beaumont,Mike Butler,Mike Butler,New Democratic Party,6347,
Alberta,Edmonton--Mill Woods--Beaumont,Edmonton--Mill Woods--Beaumont,David Allan Hrushka,David Allan Hrushka,Green Party of Canada,2366,
Alberta,Edmonton--Mill Woods--Beaumont,Edmonton--Mill Woods--Beaumont,Mike Lake,Mike Lake,Conservative Party of Canada,25130,
Alberta,Edmonton--Mill Woods--Beaumont,Edmonton--Mill Woods--Beaumont,Naomi Rankin,Naomi Rankin,Communist Party of Canada,186,
Alberta,Edmonton--Mill Woods--Beaumont,Edmonton--Mill Woods--Beaumont,Indira Saroya,Indira Saroya,Liberal Party of Canada,7714,
Alberta,Edmonton Centre,Edmonton-Centre,Laurie Hawn,Laurie Hawn,Conservative Party of Canada,22287,
Alberta,Edmonton Centre,Edmonton-Centre,Donna Martyn,Donna Martyn,New Democratic Party,6816,
Alberta,Edmonton Centre,Edmonton-Centre,Peggy Morton,Peggy Morton,Marxist-Leninist Party of Canada,210,
Alberta,Edmonton Centre,Edmonton-Centre,David James Parker,David James Parker,Green Party of Canada,3658,
Alberta,Edmonton Centre,Edmonton-Centre,Jim Wachowich,Jim Wachowich,Liberal Party of Canada,12403,
Alberta,Edmonton East,Edmonton-Est,Trey Capnerhurst,Trey Capnerhurst,Green Party of Canada,2491,
Alberta,Edmonton East,Edmonton-Est,Peter Goldring,Peter Goldring,Conservative Party of Canada,21487,
Alberta,Edmonton East,Edmonton-Est,Stephanie Laskoski,Stephanie Laskoski,Liberal Party of Canada,4578,
Alberta,Edmonton East,Edmonton-Est,Ray Martin,Ray Martin,New Democratic Party,13632,
Alberta,Edmonton--Leduc,Edmonton--Leduc,Valerie Kennedy,Valerie Kennedy,Green Party of Canada,4215,
Alberta,Edmonton--Leduc,Edmonton--Leduc,James Rajotte,James Rajotte,Conservative Party of Canada,33024,
Alberta,Edmonton--Leduc,Edmonton--Leduc,Hana Razga,Hana Razga,New Democratic Party,6144,
Alberta,Edmonton--Leduc,Edmonton--Leduc,Donna Lynn Smith,Donna Lynn Smith,Liberal Party of Canada,9386,
Alberta,Edmonton--St. Albert,Edmonton--St. Albert,Dave Burkhart,Dave Burkhart,New Democratic Party,8050,
Alberta,Edmonton--St. Albert,Edmonton--St. Albert,Peter Johnston,Peter Johnston,Green Party of Canada,4072,
Alberta,Edmonton--St. Albert,Edmonton--St. Albert,Brent Rathgeber,Brent Rathgeber,Conservative Party of Canada,31436,
Alberta,Edmonton--St. Albert,Edmonton--St. Albert,Sam Sleiman,Sam Sleiman,Liberal Party of Canada,7451,
Alberta,Edmonton--Sherwood Park,Edmonton--Sherwood Park,Nina Erfani,Nina Erfani,Green Party of Canada,3681,
Alberta,Edmonton--Sherwood Park,Edmonton--Sherwood Park,James Ford,James Ford,Independent,15860,
Alberta,Edmonton--Sherwood Park,Edmonton--Sherwood Park,Brian LaBelle,Brian LaBelle,New Democratic Party,6339,
Alberta,Edmonton--Sherwood Park,Edmonton--Sherwood Park,Rick Szostak,Rick Szostak,Liberal Party of Canada,5575,
Alberta,Edmonton--Sherwood Park,Edmonton--Sherwood Park,Tim Uppal,Tim Uppal,Conservative Party of Canada,17601,
Alberta,Edmonton--Spruce Grove,Edmonton--Spruce Grove,Rona Ambrose,Rona Ambrose,Conservative Party of Canada,36402,
Alberta,Edmonton--Spruce Grove,Edmonton--Spruce Grove,Chris Austin,Chris Austin,Liberal Party of Canada,6109,
Alberta,Edmonton--Spruce Grove,Edmonton--Spruce Grove,Barb Phillips,Barb Phillips,New Democratic Party,6627,
Alberta,Edmonton--Spruce Grove,Edmonton--Spruce Grove,Wendy Walker,Wendy Walker,Green Party of Canada,3975,
Alberta,Edmonton--Strathcona,Edmonton--Strathcona,Linda Duncan,Linda Duncan,New Democratic Party,20076,
Alberta,Edmonton--Strathcona,Edmonton--Strathcona,Kevan Hunter,Kevan Hunter,Marxist-Leninist Party of Canada,147,
Alberta,Edmonton--Strathcona,Edmonton--Strathcona,Rahim Jaffer,Rahim Jaffer,Conservative Party of Canada,19634,
Alberta,Edmonton--Strathcona,Edmonton--Strathcona,Claudette Roy,Claudette Roy,Liberal Party of Canada,4288,
Alberta,Edmonton--Strathcona,Edmonton--Strathcona,Jane Thrall,Jane Thrall,Green Party of Canada,3045,
Alberta,Lethbridge,Lethbridge,Geoffrey Capp,Geoffrey Capp,Christian Heritage Party of Canada,1091,
Alberta,Lethbridge,Lethbridge,Rick Casson,Rick Casson,Conservative Party of Canada,32212,
Alberta,Lethbridge,Lethbridge,Michael Joseph Cormican,Michael Joseph Cormican,Liberal Party of Canada,4405,
Alberta,Lethbridge,Lethbridge,Mark Sandilands,Mark Sandilands,New Democratic Party,6733,
Alberta,Lethbridge,Lethbridge,Amanda Swagar,Amanda Swagar,Green Party of Canada,3420,
Alberta,Macleod,Macleod,Stan Knowlton,Stan Knowlton,New Democratic Party,3055,
Alberta,Macleod,Macleod,Jared McCollum,Jared McCollum,Green Party of Canada,4160,
Alberta,Macleod,Macleod,Ted Menzies,Ted Menzies,Conservative Party of Canada,35333,
Alberta,Macleod,Macleod,Isabel Paynter,Isabel Paynter,Liberal Party of Canada,2701,
Alberta,Macleod,Macleod,Marc Slingerland,Marc Slingerland,Christian Heritage Party of Canada,422,
Alberta,Medicine Hat,Medicine Hat,Bev Botter,Bev Botter,Liberal Party of Canada,2640,
Alberta,Medicine Hat,Medicine Hat,Kevin Dodd,Kevin Dodd,Green Party of Canada,2338,
Alberta,Medicine Hat,Medicine Hat,David S. Patrick,David S. Patrick,Independent,580,
Alberta,Medicine Hat,Medicine Hat,LaVar Payne,LaVar Payne,Conservative Party of Canada,26949,
